办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,日平均在线窗口数,前台人数,评价率,满意率,kpi
24401060060,3.68,18,3.38,16.86,1439,1030,25.4,53,181,1,1,95.1
24401040007,17.29,12,2.72,22.16,1983,1222,17.8,62,18,99,99,94.6
24401130100,39.84,14,1.58,27.32,1395,352,27.9,22,39,2,2,94
24401050012,16.77,14,1.98,15.43,1972,852,25.3,40,156,2,2,94
24401790100,41.41,14,2.17,30.33,752,302,24.8,18,52,0,0,93
24401060061,20.1,23,2.87,16.49,645,513,17.9,19,59,0,0,91.6
24401130300,6.75,17,1.96,11.28,1077,242,36.9,14,38,1,1,91.4
24401110200,4.28,18,2.1,9.15,942,538,26,24,51,58,57,90.8
24401130400,7.58,14,2.46,11.09,718,203,37.1,12,30,0,0,90.7
24401130100,12.82,8,2.21,13.36,1011,122,38.4,14,20,0,0,90.6
24401030015,1.79,11,2.16,14.98,1200,519,13.7,37,33,0,0,89.1
24401130600,4.58,15,1.63,6.82,666,192,28.3,9,19,3,3,88.1
24401110400,4.5,20,1.5,7.96,625,239,18.6,11,48,3,3,87
24401060062,2.56,15,2.85,6.31,356,286,20.8,15,35,0,0,86.7
24401130700,6.31,16,1.36,9.07,579,167,23.5,8,16,6,6,86.1
24401790700,4.03,8,2.43,5.56,323,97,32.5,8,26,0,0,86
24401110900,1.35,16,1.76,3.41,384,94,27.8,6,27,2,2,85.5
24401110003,4.67,12,2.31,5.79,141,49,18.7,4,6,0,0,85
24401120007,3.04,8,0.63,6.47,1123,185,12.8,12,9,1,1,85
24401840100,0.31,9,1.74,2.48,397,178,18.6,13,32,2,2,84.8
24401970400,1.78,9,1.87,5.4,252,100,21.4,7,16,0,0,84.5
24401130500,2.07,12,1.91,5.12,214,81,18.6,5,11,0,0,84.4
24401000023,6.21,14,2.37,8.21,100,66,10.4,5,7,0,0,84.3
24401830600,0.7,16,1.62,2.82,142,97,16.2,5,9,0,0,84
24401970100,9.53,8,1.67,9.1,255,111,11.1,9,31,0,0,83.8
24401140500,0.22,9,1.56,2.84,255,81,14.7,6,13,7,7,83.7
24401970500,0.36,7,1.92,3.03,291,127,18.8,12,37,1,1,83.7
24401110800,1.78,9,1.53,4.59,356,133,7.9,13,29,6,6,82.8
24401140100,30,0,0.02,13.07,123,15,0.5,10,6,3,3,82.7
24401790400,0.46,3,2.27,2.07,61,20,7.3,5,10,0,0,82.5
24401830300,1.98,3,1.79,3.52,53,29,8.7,2,7,0,0,82.5
24401790200,0.86,2,2.47,2.62,71,32,8,5,21,0,0,82.4
24401120200,1.05,2,2.61,1.71,18,9,6.4,2,16,1,1,82.4
24401840004,5.09,3,1.43,9.64,36,17,3.5,3,6,2,2,82.3
24401790600,0.09,6,1.82,2.77,181,53,12.6,5,19,0,0,82.3
24401830900,0.23,3,1.62,3.61,76,20,13.5,3,9,0,0,82.3
24401110004,0.09,8,1.54,1.67,102,49,6.9,5,13,0,0,81.9
24401140700,0.15,3,1.53,1.66,102,30,6.8,5,12,1,1,81.9
24401840003,2.34,4,1.13,2.38,42,18,5.2,3,5,1,1,81.8
24401110001,0.71,9,0.79,2.36,127,33,5.2,4,10,0,0,81.8
24401840002,0.51,5,1.14,2.04,63,27,8.5,3,7,1,1,81.7
24401140600,0,4,0.99,2.73,82,30,6.4,3,9,0,0,81.7
24401110002,0.23,5,1.1,1.98,112,25,10.2,3,11,1,1,81.6
24401970600,0.16,4,0.8,2.58,102,28,7.8,4,13,3,3,81.5
24401970300,0.19,2,0.69,1.9,71,24,4.9,5,10,0,0,81
24401120100,2.05,6,0.8,4.33,113,31,2.8,5,8,0,0,80.7
24401140300,0.27,3,0.84,2.45,51,17,4,2,6,1,1,80.3
24401140400,0.93,2,1.26,2.54,32,15,3.5,3,27,57,57,80.3
24401840005,0.94,1,0.35,4.78,15,5,0.4,3,6,0,0,80.1
24401120007,0,0,0,5.25,29,1,0,1,3,39,39,80
24401840006,0,1,0.08,0.63,12,3,0.1,2,5,0,0,79.1
