BSFWT_DM,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,类编号
24401840006.0,1.0,0.08,0.63,12.0,3.0,0.1,0
24401840002.0,5.0,1.14,2.04,63.0,27.0,8.5,0
24401840004.0,3.0,1.43,9.64,36.0,17.0,3.5,0
24401840005.0,1.0,0.35,4.78,15.0,5.0,0.4,0
24401840100.0,9.0,1.74,2.48,397.0,178.0,18.6,1
24401840003.0,4.0,1.13,2.38,42.0,18.0,5.2,0
24401790600.0,6.0,1.82,2.77,181.0,53.0,12.6,1
24401790700.0,8.0,2.43,5.56,323.0,97.0,32.5,1
24401790100.0,14.0,2.17,30.33,752.0,302.0,24.8,3
24401790200.0,2.0,2.47,2.62,71.0,32.0,8.0,0
24401790400.0,3.0,2.27,2.07,61.0,20.0,7.3,0
24401830300.0,3.0,1.79,3.52,53.0,29.0,8.7,0
24401830600.0,16.0,1.62,2.82,142.0,97.0,16.2,1
24401830900.0,3.0,1.62,3.61,76.0,20.0,13.5,0
24401000023.0,14.0,2.37,8.21,100.0,66.0,10.4,1
24401060061.0,23.0,2.87,16.49,645.0,513.0,17.9,3
24401060060.0,18.0,3.38,16.86,1439.0,1030.0,25.4,2
24401060062.0,15.0,2.85,6.31,356.0,286.0,20.8,1
24401970600.0,4.0,0.8,2.58,102.0,28.0,7.8,0
24401970300.0,2.0,0.69,1.9,71.0,24.0,4.9,0
24401970400.0,9.0,1.87,5.4,252.0,100.0,21.4,1
24401970500.0,7.0,1.92,3.03,291.0,127.0,18.8,1
24401970100.0,8.0,1.67,9.1,255.0,111.0,11.1,1
24401050012.0,14.0,1.98,15.43,1972.0,852.0,25.3,2
24401130400.0,14.0,2.46,11.09,718.0,203.0,37.1,3
24401130100.0,14.0,1.58,27.32,1395.0,352.0,27.9,3
24401130300.0,17.0,1.96,11.28,1077.0,242.0,36.9,3
24401130700.0,16.0,1.36,9.07,579.0,167.0,23.5,3
24401130600.0,15.0,1.63,6.82,666.0,192.0,28.3,3
24401130500.0,12.0,1.91,5.12,214.0,81.0,18.6,1
24401130100.0,8.0,2.21,13.36,1011.0,122.0,38.4,3
24401110200.0,18.0,2.1,9.15,942.0,538.0,26.0,3
24401110003.0,12.0,2.31,5.79,141.0,49.0,18.7,1
24401110800.0,9.0,1.53,4.59,356.0,133.0,7.9,1
24401110900.0,16.0,1.76,3.41,384.0,94.0,27.8,1
24401110004.0,8.0,1.54,1.67,102.0,49.0,6.9,0
24401110400.0,20.0,1.5,7.96,625.0,239.0,18.6,3
24401110001.0,9.0,0.79,2.36,127.0,33.0,5.2,0
24401110002.0,5.0,1.1,1.98,112.0,25.0,10.2,0
24401140300.0,3.0,0.84,2.45,51.0,17.0,4.0,0
24401140500.0,9.0,1.56,2.84,255.0,81.0,14.7,1
24401140700.0,3.0,1.53,1.66,102.0,30.0,6.8,0
24401140600.0,4.0,0.99,2.73,82.0,30.0,6.4,0
24401140400.0,2.0,1.26,2.54,32.0,15.0,3.5,0
24401030015.0,11.0,2.16,14.98,1200.0,519.0,13.7,3
24401040007.0,12.0,2.72,22.16,1983.0,1222.0,17.8,2
24401120007.0,8.0,0.63,6.47,1123.0,185.0,12.8,1
24401120100.0,6.0,0.8,4.33,113.0,31.0,2.8,0
24401120007.0,0.0,0.0,5.25,29.0,1.0,0.0,0
24401120200.0,2.0,2.61,1.71,18.0,9.0,6.4,0
